params,mean_test_score,std_test_score,max_test_score,min_test_score,rank_test_score
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': 10, 'solver': 'adam'}",0.33663348263026344,0.006239128501495469,0.34767236299351795,0.33117265763111375,194
"{'activation': 'tanh', 'alpha': 1e-05, 'hidden_layer_sizes': 10, 'solver': 'adam'}",0.33674842252627624,0.009120166609420416,0.35335689045936397,0.3270477312905127,193
"{'C': 100, 'degree': 2, 'kernel': 'poly'}",0.33674960246482216,0.005973016587979156,0.3462897526501767,0.328815556865056,17
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 20, 10), 'solver': 'adam'}",0.33675085181151804,0.0025294948120743966,0.34001178550383027,0.3327444051825677,192
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': 10, 'solver': 'adam'}",0.33745617742944145,0.013244169321707943,0.3559222156747201,0.3164407778432528,191
"{'C': 10, 'degree': 2, 'kernel': 'poly'}",0.3374563856538907,0.007097594803928309,0.3492343934040047,0.328815556865056,16
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (20, 10), 'solver': 'adam'}",0.3376926509956946,0.004196368171834375,0.3451118963486455,0.3327444051825677,190
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': 20, 'solver': 'adam'}",0.33781078366659656,0.01087742129209757,0.35276796230859836,0.32273262661955243,189
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (50, 20, 10), 'solver': 'adam'}",0.3382831061257551,0.006638333831764498,0.3512080141426046,0.3321554770318021,188
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (20, 20), 'solver': 'adam'}",0.33863188207832984,0.01292400207187871,0.3568904593639576,0.3258691809074838,187
"{'C': 100, 'kernel': 'sigmoid'}",0.33875140291222716,0.008035557335276567,0.35335689045936397,0.3305833824395993,14
"{'C': 1000, 'kernel': 'sigmoid'}",0.33875140291222716,0.008035557335276567,0.35335689045936397,0.3305833824395993,14
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (20, 20), 'solver': 'adam'}",0.33875299929967173,0.007930482330846469,0.3486454652532391,0.33176193282262817,186
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20, 20), 'solver': 'adam'}",0.3388743941536127,0.011644582022491813,0.3512080141426046,0.32391048292108365,185
"{'C': 10, 'kernel': 'sigmoid'}",0.3391048986189861,0.008067027959362356,0.3539458186101296,0.33117265763111375,13
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (20, 10), 'solver': 'adam'}",0.3392277510440721,0.013378344794432607,0.3588685916322923,0.32037691401649,184
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': 10, 'solver': 'adam'}",0.339814805174794,0.014677165252990884,0.36770771950500886,0.328815556865056,183
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50, 20, 20), 'solver': 'adam'}",0.33993231317234807,0.011697241279173173,0.3545347467608952,0.3197879858657244,182
